Lebensmittel; Histamingehalt (mg/kg) oder (mg/l);vertraeglichkeit;biogene Amine (mg/kg);DAO-Hemmer;Histamin-liberatoren;Gehalt an Amino-saeuren (mg/kg);Sonstiges;;;
Kokosmilch;histaminarm;1;;;;;;;;
Kokosnussraspeln;;1;;;;Histidin 1180;;;;
Kombucha;enthaelt Histamin;3;;ja;ja;;;;;
Kondensmilch, 7,5% Fett;histaminarm;1;;;;Histidin 1700;;;;
Krabbenchips;enthaelt Histamin;4;Tyramin, Serotonin;;ja;;;;;
Krabbenpaste;~8;2;Tyramin 0-500, Serotonin;;ja;Phenylalanin, Tryptophan 2500;;;;
Kraeuter;;2;;;;;;;;
Kraeutertee;histaminarm;2;;;;;;;;
Kuerbis;histaminarm;1;;;;;;;;
Kuerbiskerne;;1;;;;Histidin 5610;;;;
Kurkumin (E 100);enthaelt Histamin;3;;;ja;;;;;
Lachs;Mind. 50;4;Tyramin 0-500, Serotonin;;;Phenylalanin, Tryptophan 2500;;;;
Lactoflavin (E 101);enthaelt Histamin;3;;;ja;;;;;
Lakritz;;4;;;ja;;;;;
laktosefreie Milchprodukte;;2;;;ja;;;;;
Landjaeger;<1-80;4;Tyramin 85-244;;ja;;;;;
Lauch/Porree;histaminarm;1;;;;;;;;
Leberwurst;;3;Phenylethylamin;;;;;;;
Leinsamen;;1;;;;Histidin 5120;;;;
Lengfisch, frisch/TK;histaminarm;1;Tyramin 0-500, Serotonin;;;Phenylalanin, Tryptophan 2500;;;;
Likoer;enthaelt Histamin;4;ja;ja;ja;;;;;
Limande (Rotzunge), frisch/TK;histaminarm;1;Tyramin 0-500, Serotonin;;;Phenylalanin, Tryptophan 2500;;;;
Limburger;~6-42;2;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Limonaden;;4;ja;ja;ja;;Salicylate;;;
Linsen;;3;Spermin, Spermidin;;;;;;;
Litschi;histaminarm;1;;;;;;;;
Magermilch, 0,3% Fett;histaminarm;1;;;ja;Histidin 900;Casein;;;
Maggi Wuerze;enthaelt Histamin;4;Tyramin;;ja;;;;;
Magnesiumchlorid (E 511);;3;Tyramin;;;;;;;
Magnesiumdiglutamat (E 625);enthaelt Histamin;4;Tyramin;;ja;;;;;
Mais;histaminarm;1;;;;;;;;
Maismehl;histaminarm;1;;;;;;;;
Maisnudeln;histaminarm;1;;;;;;;;
Majonaise;;2;;;ja;;Salicylate;;;
Makrelen, Dose;114-288;4;Tyramin 0-500, Serotonin;;ja;Phenylalanin, Tryptophan 2500;;;;
Makrelen, geraeuchert;0-1788;4;Tyramin 0-500, Serotonin;;ja;Phenylalanin, Tryptophan 2500;;;;
Makrelen, TK;0-20;2;Tyramin 0-500, Serotonin;;ja;Phenylalanin, Tryptophan 2500;;;;
Mandarinen;;1;;;ja;;Salicylate;;;
Mandeln;enthaelt Histamin;4;Spermin, Spermidin;;;Histidin 4310, Tryptophan 1700;Salicylate;;;
Mango;enthaelt Histamin;3;;;ja;;;;;
Mangold;histaminarm;1;;;;;;;;
Margarine;;1;;;ja;;Salicylate;;;
Marmelade (gekauft);;2;;;ja;;Salicylate;;;
Marzipan;viel Histamin;4;;;;;;;;
Mate-Tee;;2;;ja;;;;;;
Matjes, Bismarckheringe;0-10;4;Tyramin 0-500, Serotonin;;ja;Phenylalanin, Tryptophan 2500;;;;
Meerbarbe, frisch/TK;histaminarm;1;Tyramin 0-500, Serotonin;;;Phenylalanin, Tryptophan 2500;;;;
Meerbrassen/Dorade, frisch/TK;histaminarm;1;Tyramin 0-500, Serotonin;;;Phenylalanin, Tryptophan 2500;;;;
Meeresfruechte, frisch;enthaelt Histamin;2;Tyramin 0-500, Serotonin;;ja;Phenylalanin, Tryptophan 2500;;;;
Melonen;histaminarm;1;Serotonin;;ja;;Salicylate;;;
Merlan, frisch/TK;histaminarm;1;Tyramin 0-500, Serotonin;;;Phenylalanin, Tryptophan 2500;;;;
Mettwurst;<1-80;4;Tyramin 85-244;;ja;;;;;
Milch, 1,5-1,8% Fett;;1;;;ja;Histidin 950, Tryptophan 490;Casein;;;
Milchpulver;~0,3;1;;;ja;Histidin 6600-9200;Casein, Salicylate;;;
Milchreis;histaminarm;1;Serotonin;;ja;;Casein;;;
Minze;;2;;;ja;;Salicylate;;;
Mohn;;2;;;ja;;;;;
Molkenpulver;;1;;;;Histidin 2900;;;;
Mondseer;<10-30;2;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Monoammoniumglutamat (E 624);enthaelt Histamin;4;Tyramin;;ja;;;;;
Monte Nero;~19,2;2;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Mozzarella;16-50;2;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Muskatnuss;;3;;ja;;;;;;
Nachtschattengewaechse (zB Kartoffeln, Paprika);;2;Tyramin;;ja;Histidin (gegarte Kartoffel) 300;;;;
Natriumadipat (E 357);;3;Tyramin;;;;;;;
Natriumglutamat (E 621);enthaelt Histamin;4;Tyramin;;ja;;;;;
Natriumlactat (E 325);;3;Tyramin;;;;;;;
Nektarinen;histaminarm;1;;;ja;;Salicylate;;;
Nougat;viel Histamin;4;;;ja;;;;;
Nuesse (vor allem ranzige);;4;Tyramin, Spermin, Spermidin;;ja;Tryptophan 1700-4500;;;;
Obstkonserven;;4;ja;;ja;;Salicylate;;;
Oliven (eingelegt);enthaelt Histamin;3;;;;;;;;
Orangen;;4;Putrescin 100-120, Tyramin 0-25, Spermin, Spermidin;;ja;;Salicylate;;;
Orthaphenyl (E 232);enthaelt Histamin;3;;;;;;;;
Osso Collo;20-300;4;;;;;;;;
Pangasius;viel Histamin;4;;;;;;;;
Papaya;;4;Serotonin 10-20;;ja;Histidin 40;;;;
Paprika;histaminarm;2;ja;;;;;;;
Paprika (Gewuerz);histaminarm;3;;;ja;;;;;
Parmesan;<10-580;4;Tyramin 0-840, Phenylethylamin;;;Histidin 12000;Aflatoxine (Schimmeltoxine);;;
Passionsfruchtsaft;;1;Serotonin 25;;;;;;;
Patentblau (E 131);enthaelt Histamin;3;;;ja;;;;;
Peperoni;enthaelt Histamin;3;;;;;;;;
Peterfisch, frisch/TK;histaminarm;1;;;;;;;;
Petersilie;;2;Spermin, Spermidin;;;;;;;
Pfeffer;;2;Tyramin;;ja;;Salicylate;;;
Pfirsiche;histaminarm;1;;;ja;;Salicylate;;;
Pflanzenoel;histaminarm;1;;;;;;;;
Pflaumen;enthaelt Histamin;3;Tyramin/Octopamin, Serotonin 8-10;;ja;;Salicylate;;;
PHB-Ester (E 220-227/214-219);enthaelt Histamin;3;;;;;;;;
Plockwurst;viel Histamin;4;ja;;;;;;;
Pop Corn/Puffmais;histaminarm;1;;;;;;;;
Preiselbeeren;histaminarm;1;;;;;;;;
Provolone;viel Histamin;4;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Pute;0-3;1;;;;;;;;
Quark/Topfen;0,1-3;1;;;;Tryptophan 1500;;;;
Quinoia;;1;;;;Tryptophan 1650;;;;
Raclette;<10-150;3;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Radieschen;histaminarm;1;;;;;;;;
Rapunzeln;histaminarm;1;;;;;;;;
Rascasse, frisch/TK;histaminarm;1;Tyramin 0-500, Serotonin;;;Phenylalanin,  Tryptophan 2500;;;;
Reh;viel Histamin;3;;;;;;;;
Reis, geschaelt;histaminarm;1;;;;Histidin 1090;;;;
Reis, ungeschaelt;histaminarm;2;;;;Histidin 1160;;;;
Reismehl;histaminarm;1;;;;;;;;
Reismilch;histaminarm;2;;;;;;;;
Reisnudeln;histaminarm;1;;;;;;;;
Reiswaffeln;histaminarm;2;;;;;;;;
Rettich;histaminarm;1;;;;;;;;
Rhabarber;histaminarm;1;;;ja;;Salicylate;;;
Rindfleisch, frisch;<2,5-9;2;Tyramin 5, Serotonin, Dopamin, Putrescin <1;;;;;;;
Rindsleber;~65;4;;;;;;;;
Rochen, frisch/TK;histaminarm;1;Tyramin 0-500, Serotonin;;;Phenylalanin,  Tryptophan 2500;;;;
Rohmilch, frisch;0,1-1;1;;;;;;;;
Rollmops;~7,7-80;4;Tyramin 0-500, Serotonin;;ja;Phenylalanin,  Tryptophan 2500;;;;
Romadur, Schlosskaese;<10-100;3;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Roquefort;~2000;4;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin, Spermin, Spermidin;;;;Aflatoxine (Schimmeltoxine);;;
Rosewein, oesterreich;0,015-0,061;4;Tyramin;ja;ja;;;;;
Rosinen;;3;Serotonin, Tyramin!;;ja;;Salicylate;;;
Rotbarsch, frisch/TK;histaminarm;1;Tyramin 0-500, Serotonin;;;Phenylalanin,  Tryptophan 2500;;;;
Rote Bete, frisch;histaminarm;1;;;;;;;;
Rotwein;0,06-3,8;4;Tyramin bis 25;ja;ja;;Salicylate;;;
Rotwein, oesterreich;0,06-0,6, max. 1,1;4;Tyramin bis 25;ja;ja;;;;;
Rotweinessig/Aceto Balsamico;Bis 4 mg/l;4;;;;;;;;
Sahne/Rahm/Obers;~2,1;1;;;;Histidin 800;;;;
Salami;~1-654;4;Tyramin 209, Putrescin 230, Spermin, Spermidin;;ja;;;;;
Salami, italienisch;<1-13;4;Tyramin 76;;ja;;;;;
Salat (gruen);histaminarm;1;;;;;;;;
Salatsaucen (fertig);;2;;;ja;;Salicylate;;;
Salicylate (v.a.in Steinfruechten, Beeren, weiterem Obst, einigen Gemuesesorten, Minze, Pfeffer, Zimt, Wein, Bier, Essig, Fertigprodukte, Margarine);;2;;;ja;;;;;
Sardellen in oel (�Anchovis�);176-1250;4;Tyramin 0-500, Serotonin;;ja;Phenylalanin,  Tryptophan 2500;;;;
Sardellen, frisch;~176;3;Tyramin 0-500, Serotonin;;ja;Phenylalanin,  Tryptophan 2500;;;;
Sardellenbutter;176-1250;4;Tyramin 0-500, Serotonin;;ja;Phenylalanin,  Tryptophan 2500;;;;
Sardine (geraeuchert/gepoekelt);14-1500;4;Tyramin 0-500, Serotonin;;;Phenylalanin,  Tryptophan 2500;;;;
Sauerkraut;0-229;4;Tyramin 2-951, Spermin, Spermidin;;;;Amine vor allem in der Lake!;;;
Saure Sahne;~2;1;Tyramin;;;;;;;
Saeureregulatoren (Di-, Tri und Polyphosphate);enthaelt Histamin;3;;;;;;;;
Schafskaese;17,4-60,7;2;Tyramin 0-953, Serotonin, Phenylethylamin, Agmatin, Putrescin;;;;Aflatoxine (Schimmeltoxine);;;
Schafsmilch;;1;;;;Histidin 1300;;;;
Schalentiere;viel Histamin;3;;;ja;;;;;
Schellfisch, frisch/TK;histaminarm;1;Tyramin 0-500, Serotonin;;;Phenylalanin,  Tryptophan 2500;;;;
Schillerlocken;viel Histamin;4;Tyramin 0-500, Serotonin;;;Phenylalanin,  Tryptophan 2500;;;;
Schinken (geraeuchert);~2-271;4;Tyramin 123-618;;ja;;;;;
Schleie;viel Histamin;4;Tyramin 0-500, Serotonin;;;Phenylalanin,  Tryptophan 2500;;;;
